,multi_sample_binning/S3.bam_cov
S3:k115_1113,0.03502110855741975
S3:k115_6113,0.004168724657771616
S3:k115_6786,0.009436161733090788
S3:k115_2631,0.00969213372305444
S3:k115_788,0.0037444088430801403
S3:k115_4909,0.005633721881390593
S3:k115_9359,0.007102648380106759
S3:k115_5215,0.008781929824561403
S3:k115_8535,0.011301248067066706
S3:k115_5702,0.003626292348686715
S3:k115_4418,0.0073113242444614686
S3:k115_2389,0.010381408549404345
S3:k115_9775,0.1797422171512141
S3:k115_2637,0.018256348455203165
S3:k115_1132,0.017306290852075065
S3:k115_7738,0.018892525924779444
S3:k115_7382,0.042319804160819964
S3:k115_800,0.00505734679292478
S3:k115_8140,0.008952161339421612
S3:k115_3648,0.00552304322857594
S3:k115_2432,0.011352323836741984
S3:k115_6161,0.011230001113647753
S3:k115_8144,0.08191779014308426
S3:k115_9805,0.007031686447523768
S3:k115_8943,0.04434157363911428
S3:k115_4442,0.009561756145761595
S3:k115_5716,0.011206871984969278
S3:k115_5272,0.021167086687886163
S3:k115_4083,0.007693272034045175
S3:k115_1191,0.027137951674903897
S3:k115_6474,0.003919098865194434
S3:k115_9807,0.0035915916004317537
S3:k115_1999,0.018459374039095103
S3:k115_8149,0.007234120776917419
S3:k115_6178,0.03463009803921569
S3:k115_3216,0.006495262851986111
S3:k115_8949,0.0027004321506642003
S3:k115_5726,0.005067657293141816
S3:k115_9380,0.007816475180279519
S3:k115_6844,0.0019375469130903113
S3:k115_8633,0.017443414043583533
S3:k115_2441,0.014073906390639063
S3:k115_5340,0.07244460764587525
S3:k115_9397,0.014334233232221098
S3:k115_5774,0.029386736800317587
S3:k115_3684,0.011680794035512934
S3:k115_8964,0.015242334341490239
S3:k115_2677,0.0037675009814368233
S3:k115_4090,0.009399399811055198
S3:k115_7788,0.019830377825952306
S3:k115_9858,0.01360029484029484
S3:k115_6518,0.01671688695006497
S3:k115_1226,0.00630918384487575
S3:k115_3282,4.106209940670424
S3:k115_9004,0.015204837023119026
S3:k115_2026,0.008568418957255583
S3:k115_9859,0.004059607694254619
S3:k115_2698,0.0065673770491803275
S3:k115_6549,0.0036414396503969965
S3:k115_9451,0.009194334034633435
S3:k115_6954,0.009419786177624729
S3:k115_8247,0.007537147087857848
S3:k115_1628,0.010067338693732287
S3:k115_9864,0.006778520163439331
S3:k115_3688,0.010138485376010128
S3:k115_9047,0.010246331902448228
S3:k115_9463,0.0336237681994545
S3:k115_8253,0.004809728156989338
S3:k115_9052,0.020362997296867545
S3:k115_6971,0.034209726402188785
S3:k115_9481,0.019261336898395723
S3:k115_9876,0.003205292479989876
S3:k115_9878,0.0232112153017539
S3:k115_7000,1.7828181982257572
S3:k115_2821,0.01885961884961885
S3:k115_9889,0.004217573632538569
S3:k115_9891,0.0018681330187288012
S3:k115_2837,0.007875594921861524
S4:k115_414,0.009299218244442124
S4:k115_7861,0.032011446393057315
S4:k115_2481,0.029129056395134537
S4:k115_9096,0.016219397666351307
S4:k115_8709,0.015175031222123103
S4:k115_829,0.015464760776882993
S4:k115_3739,0.00830452852153667
S4:k115_430,0.009533809523809524
S4:k115_9510,0.011894904086738949
S4:k115_6620,0.0052513793103448276
S4:k115_4580,0.00690348454525239
S4:k115_9518,0.3206058549222798
S4:k115_6623,0.056680186554030274
S4:k115_438,0.31066514758819297
S4:k115_8308,0.0033945719926667607
S4:k115_2939,0.024552876698934193
S4:k115_4157,0.018183045995496944
S4:k115_6632,0.009545060332461395
S4:k115_6202,0.004017398273736128
S4:k115_1697,0.011419395973154362
S4:k115_2513,0.008082941399943014
S4:k115_871,0.019369299377736807
S4:k115_2123,0.003876635010005766
S4:k115_5000,0.024205765740995325
S4:k115_8345,0.18447301454658002
S4:k115_2127,0.03605708190289358
S4:k115_141,0.029614401362326435
S4:k115_4607,0.002614511543724893
S4:k115_5821,0.012748438835962762
S4:k115_6233,0.237261356238698
S4:k115_469,0.00567465256797583
S4:k115_8349,0.011319047237790232
S4:k115_1325,0.012588961823674815
S4:k115_474,0.02602551802829758
S4:k115_5014,0.044235318847425605
S4:k115_3754,0.016404900681885562
S4:k115_1723,0.005454516082813955
S4:k115_9590,0.005119443007632624
S4:k115_9212,0.020812919708029197
S4:k115_888,0.007120826393337604
S4:k115_2561,0.011450720866659917
S4:k115_7564,0.004983183812774256
S4:k115_3438,0.0091424200913242
S4:k115_6263,0.007799095266626722
S4:k115_5496,0.2310277106152304
S4:k115_9606,0.024844437086092713
S4:k115_7065,0.033767173399347365
S4:k115_8749,0.011128193812354536
S4:k115_5035,0.007492394366197182
S4:k115_505,0.0144114401440144
S4:k115_223,0.03237337828246984
S4:k115_3047,1.4127261182375908
S4:k115_7608,0.22902064249113127
