,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_6753_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6753_2,0.000405952289808598,0.000405952289808598,0.000405952289808598,0.000405952289808598,0.000405952289808598
k115_8534_1,9.017797795106201e-05,9.017797795106201e-05,9.017797795106201e-05,9.017797795106201e-05,9.017797795106201e-05
k115_8534_2,0.00015202255982791,0.00015202255982791,0.00015202255982791,0.00015202255982791,0.00015202255982791
k115_9358_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9358_2,0.000277877777777777,0.000277877777777777,0.000277877777777777,0.000277877777777777,0.000277877777777777
k115_4807_1,0.00010891778934295301,0.00010891778934295301,0.00010891778934295301,0.00010891778934295301,0.00010891778934295301
k115_4807_2,5.8645239503251994e-05,5.8645239503251994e-05,5.8645239503251994e-05,5.8645239503251994e-05,5.8645239503251994e-05
k115_9693_1,0.00019975919686203902,0.00019975919686203902,0.00019975919686203902,0.00019975919686203902,0.00019975919686203902
k115_9693_2,0.00011262933800598,0.00011262933800598,0.00011262933800598,0.00011262933800598,0.00011262933800598
k115_1399_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1399_2,0.000151261855752995,0.000151261855752995,0.000151261855752995,0.000151261855752995,0.000151261855752995
k115_4372_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4372_2,0.000108936744882675,0.000108936744882675,0.000108936744882675,0.000108936744882675,0.000108936744882675
k115_3924_1,0.000535187719298245,0.000535187719298245,0.000535187719298245,0.000535187719298245,0.000535187719298245
k115_3924_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1407_1,0.000282812034025519,0.000282812034025519,0.000282812034025519,0.000282812034025519,0.000282812034025519
k115_1407_2,0.000285242571285642,0.000285242571285642,0.000285242571285642,0.000285242571285642,0.000285242571285642
k115_2360_1,1.1223470522803e-05,1.1223470522803e-05,1.1223470522803e-05,1.1223470522803e-05,1.1223470522803e-05
k115_2360_2,0.00036709288256227696,0.00036709288256227696,0.00036709288256227696,0.00036709288256227696,0.00036709288256227696
k115_4399_1,0.001689557432730481,0.001689557432730481,0.001689557432730481,0.001689557432730481,0.001689557432730481
k115_4399_2,0.00694319660344067,0.00694319660344067,0.00694319660344067,0.00694319660344067,0.00694319660344067
k115_682_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_682_2,5.6509370862833e-05,5.6509370862833e-05,5.6509370862833e-05,5.6509370862833e-05,5.6509370862833e-05
k115_1812_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1812_2,0.000134899574317133,0.000134899574317133,0.000134899574317133,0.000134899574317133,0.000134899574317133
k115_3150_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3150_2,0.000222322222222222,0.000222322222222222,0.000222322222222222,0.000222322222222222,0.000222322222222222
k115_6065_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6065_2,0.000146264791100763,0.000146264791100763,0.000146264791100763,0.000146264791100763,0.000146264791100763
k115_5651_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5651_2,0.000441276470588235,0.000441276470588235,0.000441276470588235,0.000441276470588235,0.000441276470588235
k115_8929_1,0.00013301948146795598,0.00013301948146795598,0.00013301948146795598,0.00013301948146795598,0.00013301948146795598
k115_8929_2,0.000115487424231359,0.000115487424231359,0.000115487424231359,0.000115487424231359,0.000115487424231359
k115_2569_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2569_2,0.00016680150501672202,0.00016680150501672202,0.00016680150501672202,0.00016680150501672202,0.00016680150501672202
k115_4402_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4402_2,0.000294978427315054,0.000294978427315054,0.000294978427315054,0.000294978427315054,0.000294978427315054
k115_8065_1,0.000245186705202312,0.000245186705202312,0.000245186705202312,0.000245186705202312,0.000245186705202312
k115_8065_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9751_1,0.00018145130797624702,0.00018145130797624702,0.00018145130797624702,0.00018145130797624702,0.00018145130797624702
k115_9751_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7686_1,6.8394921116719e-05,6.8394921116719e-05,6.8394921116719e-05,6.8394921116719e-05,6.8394921116719e-05
k115_7686_2,8.8689277520912e-05,8.8689277520912e-05,8.8689277520912e-05,8.8689277520912e-05,8.8689277520912e-05
k115_6420_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6420_2,0.000139814148064878,0.000139814148064878,0.000139814148064878,0.000139814148064878,0.000139814148064878
k115_7690_1,0.0005424406279733579,0.0005424406279733579,0.0005424406279733579,0.0005424406279733579,0.0005424406279733579
k115_7690_2,0.000537427627199239,0.000537427627199239,0.000537427627199239,0.000537427627199239,0.000537427627199239
k115_3171_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3171_2,7.3916155988857e-05,7.3916155988857e-05,7.3916155988857e-05,7.3916155988857e-05,7.3916155988857e-05
k115_2371_1,0.00010885408344704899,0.00010885408344704899,0.00010885408344704899,0.00010885408344704899,0.00010885408344704899
k115_2371_2,0.000145656796096431,0.000145656796096431,0.000145656796096431,0.000145656796096431,0.000145656796096431
k115_5675_1,0.000165687129126619,0.000165687129126619,0.000165687129126619,0.000165687129126619,0.000165687129126619
k115_5675_2,3.2484434578218e-05,3.2484434578218e-05,3.2484434578218e-05,3.2484434578218e-05,3.2484434578218e-05
k115_4035_1,0.000310431534309946,0.000310431534309946,0.000310431534309946,0.000310431534309946,0.000310431534309946
k115_4035_2,0.000534024441017733,0.000534024441017733,0.000534024441017733,0.000534024441017733,0.000534024441017733
k115_8094_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8094_2,0.00013666274156145302,0.00013666274156145302,0.00013666274156145302,0.00013666274156145302,0.00013666274156145302
k115_1113_1,8.667013713322601e-05,8.667013713322601e-05,8.667013713322601e-05,8.667013713322601e-05,8.667013713322601e-05
k115_1113_2,0.0005379074005975631,0.0005379074005975631,0.0005379074005975631,0.0005379074005975631,0.0005379074005975631
k115_6113_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6113_2,8.1541691214694e-05,8.1541691214694e-05,8.1541691214694e-05,8.1541691214694e-05,8.1541691214694e-05
k115_6786_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6786_2,0.000231581481481481,0.000231581481481481,0.000231581481481481,0.000231581481481481,0.000231581481481481
k115_2631_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2631_2,0.000352675812933869,0.000352675812933869,0.000352675812933869,0.000352675812933869,0.000352675812933869
k115_1881_1,5.638068494791e-05,5.638068494791e-05,5.638068494791e-05,5.638068494791e-05,5.638068494791e-05
k115_1881_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9359_1,0.00014026320662974,0.00014026320662974,0.00014026320662974,0.00014026320662974,0.00014026320662974
k115_9359_2,0.000160766342515273,0.000160766342515273,0.000160766342515273,0.000160766342515273,0.000160766342515273
k115_5215_1,7.9509048938134e-05,7.9509048938134e-05,7.9509048938134e-05,7.9509048938134e-05,7.9509048938134e-05
k115_5215_2,0.00020139270544783,0.00020139270544783,0.00020139270544783,0.00020139270544783,0.00020139270544783
k115_8106_1,0.000258859241401478,0.000258859241401478,0.000258859241401478,0.000258859241401478,0.000258859241401478
